Id,1th,2th,3th,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21th,22th,23th,Ans
id200,10,0,8,18,20,8,,,,,,,,,,,,,,,,,,"1"
id201,10,0,8,18,4,8,,,,,,,,,,,,,,,,,,"0"
id202,10,0,8,18,14,10,20,,,,,,,,,,,,,,,,,"1"
id203,10,0,8,19,4,10,8,,,,,,,,,,,,,,,,,"0"
id204,10,0,8,13,20,18,7,8,,,,,,,,,,,,,,,,"1"
id205,10,0,8,7,8,,,,,,,,,,,,,,,,,,,"1"
id206,10,0,20,13,19,0,0,,,,,,,,,,,,,,,,,"1"
id207,10,0,4,19,19,4,,,,,,,,,,,,,,,,,,"0"
id208,10,0,4,17,20,,,,,,,,,,,,,,,,,,,"0"
id209,10,0,14,17,8,,,,,,,,,,,,,,,,,,,"1"
id210,6,0,10,0,,,,,,,,,,,,,,,,,,,,"1"
id211,10,0,6,0,10,20,,,,,,,,,,,,,,,,,,"1"
id212,10,0,6,0,10,20,2,7,14,20,12,8,17,24,14,20,,,,,,,,"1"
id213,10,0,6,0,10,20,19,4,10,8,,,,,,,,,,,,,,"0"
id214,10,0,10,0,19,14,,,,,,,,,,,,,,,,,,"1"
id215,10,0,6,8,17,20,,,,,,,,,,,,,,,,,,"0"
id216,10,0,10,20,6,4,13,,,,,,,,,,,,,,,,,"1"
id217,6,0,10,20,18,7,20,20,,,,,,,,,,,,,,,,"1"
id218,10,0,10,20,18,20,,,,,,,,,,,,,,,,,,"0"
id219,10,0,10,20,2,7,8,,,,,,,,,,,,,,,,,"1"
id220,10,0,10,20,19,14,20,6,8,,,,,,,,,,,,,,,"1"
id221,6,0,10,20,7,8,,,,,,,,,,,,,,,,,,"1"
id222,6,0,10,20,1,20,2,7,8,,,,,,,,,,,,,,,"1"
id223,6,0,10,20,17,4,10,8,,,,,,,,,,,,,,,,"1"
id224,10,0,10,20,17,4,17,20,,,,,,,,,,,,,,,,"0"
id225,10,0,10,4,17,20,,,,,,,,,,,,,,,,,,"0"
id226,10,0,10,4,17,20,,,,,,,,,,,,,,,,,,"0"
id227,10,0,10,14,,,,,,,,,,,,,,,,,,,,"1"
id228,10,0,18,0,8,,,,,,,,,,,,,,,,,,,"1"
id229,10,0,18,0,13,0,17,20,,,,,,,,,,,,,,,,"0"
id230,10,0,18,0,13,4,17,20,,,,,,,,,,,,,,,,"0"
id231,10,0,25,0,13,,,,,,,,,,,,,,,,,,,"1"
id232,10,0,18,7,8,10,14,8,,,,,,,,,,,,,,,,"0"
id233,10,0,25,20,,,,,,,,,,,,,,,,,,,,"1"
id234,10,0,19,0,,,,,,,,,,,,,,,,,,,,"1"
id235,10,0,19,0,6,0,22,0,,,,,,,,,,,,,,,,"1"
id236,10,0,19,0,17,8,0,20,,,,,,,,,,,,,,,,"0"
id237,6,0,2,7,8,,,,,,,,,,,,,,,,,,,"0"
id238,10,0,2,7,14,20,,,,,,,,,,,,,,,,,,"1"
id239,6,0,10,10,8,,,,,,,,,,,,,,,,,,,"1"
id240,10,0,10,10,14,8,8,,,,,,,,,,,,,,,,,"0"
id241,6,0,10,10,14,20,9,20,20,,,,,,,,,,,,,,,"1"
id242,10,0,15,15,0,19,18,20,,,,,,,,,,,,,,,,"0"
id243,10,0,15,15,20,17,20,,,,,,,,,,,,,,,,,"1"
id244,10,0,19,18,20,24,0,10,20,,,,,,,,,,,,,,,"1"
id245,10,0,19,4,8,,,,,,,,,,,,,,,,,,,"1"
id246,10,0,3,14,,,,,,,,,,,,,,,,,,,,"1"
id247,10,0,13,0,18,7,8,12,8,,,,,,,,,,,,,,,"1"
id248,10,0,13,0,25,20,2,7,8,,,,,,,,,,,,,,,"1"
id249,10,0,13,0,17,0,25,20,18,7,8,12,14,,,,,,,,,,,"0"
id250,10,0,13,4,12,14,2,7,8,,,,,,,,,,,,,,,"1"
id251,10,0,13,14,20,,,,,,,,,,,,,,,,,,,"0"
id252,10,0,1,8,,,,,,,,,,,,,,,,,,,,"1"
id253,6,0,12,0,13,,,,,,,,,,,,,,,,,,,"1"
id254,10,0,12,8,6,0,19,0,,,,,,,,,,,,,,,,"1"
id255,10,0,12,8,18,0,12,0,,,,,,,,,,,,,,,,"1"
id256,10,0,12,8,19,18,20,10,20,,,,,,,,,,,,,,,"0"
id257,10,0,12,8,13,0,17,8,,,,,,,,,,,,,,,,"1"
id258,10,0,12,8,13,,,,,,,,,,,,,,,,,,,"1"
id259,10,0,12,4,17,0,12,0,13,,,,,,,,,,,,,,,"1"
id260,6,0,17,0,6,0,17,0,,,,,,,,,,,,,,,,"0"
id261,10,0,17,0,18,20,,,,,,,,,,,,,,,,,,"1"
id262,10,0,17,0,3,0,19,18,20,10,8,,,,,,,,,,,,,"1"
id263,10,0,17,0,19,19,14,,,,,,,,,,,,,,,,,"0"
id264,10,0,17,0,19,4,,,,,,,,,,,,,,,,,,"1"
id265,10,0,17,0,12,8,,,,,,,,,,,,,,,,,,"1"
id266,6,0,17,0,17,8,19,14,,,,,,,,,,,,,,,,"0"
id267,10,0,17,24,20,20,,,,,,,,,,,,,,,,,,"1"
id268,10,0,17,20,10,20,,,,,,,,,,,,,,,,,,"0"
id269,6,0,17,4,4,9,8,,,,,,,,,,,,,,,,,"1"
id270,10,0,17,4,17,0,,,,,,,,,,,,,,,,,,"1"
id271,10,0,22,0,10,0,18,20,,,,,,,,,,,,,,,,"0"
id272,10,0,22,0,10,20,3,0,17,8,,,,,,,,,,,,,,"1"
id273,10,0,22,0,18,20,,,,,,,,,,,,,,,,,,"0"
id274,10,0,22,0,17,8,13,8,,,,,,,,,,,,,,,,"1"
id275,10,0,22,0,17,20,,,,,,,,,,,,,,,,,,"0"
id276,10,0,13,,,,,,,,,,,,,,,,,,,,,"0"
id277,6,0,13,,,,,,,,,,,,,,,,,,,,,"1"
id278,10,0,13,6,0,4,6,14,19,14,,,,,,,,,,,,,,"1"
id279,10,0,13,10,0,13,13,8,,,,,,,,,,,,,,,,"0"
id280,10,0,13,10,24,0,10,20,,,,,,,,,,,,,,,,"1"
id281,10,0,13,10,24,14,20,,,,,,,,,,,,,,,,,"1"
id282,10,0,13,10,4,8,18,7,0,,,,,,,,,,,,,,,"1"
id283,10,0,13,6,14,,,,,,,,,,,,,,,,,,,"1"
id284,10,0,13,10,14,20,2,7,8,,,,,,,,,,,,,,,"1"
id285,10,0,13,6,14,5,20,,,,,,,,,,,,,,,,,"1"
id286,10,0,13,18,0,19,18,20,,,,,,,,,,,,,,,,"1"
id287,10,0,13,18,7,14,20,,,,,,,,,,,,,,,,,"1"
id288,10,0,13,9,8,17,20,,,,,,,,,,,,,,,,,"0"
id289,10,0,13,18,7,8,13,,,,,,,,,,,,,,,,,"1"
id290,10,0,13,18,7,8,13,,,,,,,,,,,,,,,,,"1"
id291,10,0,13,18,20,17,20,,,,,,,,,,,,,,,,,"0"
id292,10,0,13,18,4,8,,,,,,,,,,,,,,,,,,"1"
id293,10,0,13,25,4,13,13,8,,,,,,,,,,,,,,,,"0"
id294,10,0,13,18,14,20,,,,,,,,,,,,,,,,,,"1"
id295,10,0,13,18,14,20,1,20,13,,,,,,,,,,,,,,,"1"
id296,10,0,13,19,14,20,,,,,,,,,,,,,,,,,,"1"
id297,10,0,13,13,0,8,,,,,,,,,,,,,,,,,,"1"
id298,6,0,13,1,14,20,,,,,,,,,,,,,,,,,,"1"
id299,10,0,13,22,0,-57,9,8,19,4,13,-56,,,,,,,,,,,,"1"
id300,10,8,8,10,8,8,,,,,,,,,,,,,,,,,,"0"
id301,6,8,8,13,,,,,,,,,,,,,,,,,,,,"1"
id302,10,8,14,13,,,,,,,,,,,,,,,,,,,,"1"
id303,10,8,6,0,18,20,17,20,,,,,,,,,,,,,,,,"0"
id304,10,8,6,0,17,20,13,8,,,,,,,,,,,,,,,,"0"
id305,10,8,10,0,13,,,,,,,,,,,,,,,,,,,"1"
id306,10,8,10,0,13,-65,,,,,,,,,,,,,,,,,,"1"
id307,10,8,6,24,14,20,,,,,,,,,,,,,,,,,,"1"
id308,10,8,10,20,,,,,,,,,,,,,,,,,,,,"0"
id309,10,8,10,14,20,,,,,,,,,,,,,,,,,,,"1"
id310,10,8,10,14,10,20,,,,,,,,,,,,,,,,,,"1"
id311,10,8,9,8,,,,,,,,,,,,,,,,,,,,"1"
id312,6,8,18,7,8,,,,,,,,,,,,,,,,,,,"1"
id313,10,8,18,7,14,20,-57,2,7,14,20,-56,,,,,,,,,,,,"1"
id314,10,8,18,4,8,,,,,,,,,,,,,,,,,,,"1"
id315,10,8,19,0,8,,,,,,,,,,,,,,,,,,,"1"
id316,10,8,19,0,10,20,,,,,,,,,,,,,,,,,,"1"
id317,10,8,19,18,20,4,13,,,,,,,,,,,,,,,,,"1"
id318,10,8,19,18,20,13,4,,,,,,,,,,,,,,,,,"1"
id319,10,8,13,8,8,17,20,,,,,,,,,,,,,,,,,"0"
id320,6,8,13,4,18,20,1,20,10,10,20,,,,,,,,,,,,,"1"
id321,10,8,13,4,13,,,,,,,,,,,,,,,,,,,"1"
id322,10,8,13,14,10,14,,,,,,,,,,,,,,,,,,"1"
id323,10,8,1,14,20,,,,,,,,,,,,,,,,,,,"1"
id324,10,8,7,14,13,19,4,10,8,,,,,,,,,,,,,,,"0"
id325,10,8,12,0,19,18,20,-57,18,7,8,10,4,13,-56,,,,,,,,,"1"
id326,10,8,12,0,17,20,,,,,,,,,,,,,,,,,,"0"
id327,6,8,12,20,,,,,,,,,,,,,,,,,,,,"1"
id328,6,8,12,14,13,,,,,,,,,,,,,,,,,,,"1"
id329,6,24,0,0,6,24,0,0,,,,,,,,,,,,,,,,"0"
id330,6,24,0,10,20,13,8,,,,,,,,,,,,,,,,,"0"
id331,6,24,0,13,1,20,17,20,,,,,,,,,,,,,,,,"1"
id332,10,24,20,20,,,,,,,,,,,,,,,,,,,,"1"
id333,10,24,20,20,10,4,8,18,7,8,19,18,20,,,,,,,,,,,"1"
id334,10,24,20,20,10,4,8,9,14,,,,,,,,,,,,,,,"1"
id335,10,24,20,20,18,0,10,20,,,,,,,,,,,,,,,,"1"
id336,10,24,20,20,1,20,17,4,4,10,8,,,,,,,,,,,,,"1"
id337,10,24,20,20,24,14,20,,,,,,,,,,,,,,,,,"1"
id338,6,24,20,19,19,14,,,,,,,,,,,,,,,,,,"0"
id339,10,24,14,20,6,8,9,14,20,,,,,,,,,,,,,,,"1"
id340,10,24,14,20,9,20,,,,,,,,,,,,,,,,,,"1"
id341,10,24,14,20,18,7,20,20,9,14,,,,,,,,,,,,,,"1"
id342,10,24,14,20,18,14,20,,,,,,,,,,,,,,,,,"1"
id343,10,24,14,20,2,7,14,20,,,,,,,,,,,,,,,,"1"
id344,10,24,14,20,19,18,20,20,,,,,,,,,,,,,,,,"1"
id345,10,24,14,20,19,18,20,20,19,4,13,,,,,,,,,,,,,"1"
id346,6,24,14,20,17,4,19,18,20,,,,,,,,,,,,,,,"1"
id347,6,24,14,6,24,14,20,,,,,,,,,,,,,,,,,"1"
id348,10,24,14,17,8,,,,,,,,,,,,,,,,,,,"1"
id349,10,8,17,8,,,,,,,,,,,,,,,,,,,,"1"
id350,10,8,17,14,10,20,,,,,,,,,,,,,,,,,,"1"
id351,10,8,13,,,,,,,,,,,,,,,,,,,,,"1"
id352,6,8,13,,,,,,,,,,,,,,,,,,,,,"1"
id353,10,8,13,10,0,10,20,9,8,,,,,,,,,,,,,,,"1"
id354,10,20,20,18,7,8,19,18,20,,,,,,,,,,,,,,,"1"
id355,10,20,20,18,7,0,,,,,,,,,,,,,,,,,,"1"
id356,6,20,20,2,7,14,10,8,15,0,0,,,,,,,,,,,,,"1"
id357,10,20,20,17,0,0,,,,,,,,,,,,,,,,,,"1"
id358,10,20,18,0,8,,,,,,,,,,,,,,,,,,,"0"
id359,10,20,18,0,17,20,,,,,,,,,,,,,,,,,,"0"
id360,10,20,18,20,10,20,18,20,,,,,,,,,,,,,,,,"0"
id361,10,20,18,20,17,8,24,20,1,8,,,,,,,,,,,,,,"1"
id362,10,20,25,20,17,4,17,20,,,,,,,,,,,,,,,,"0"
id363,6,20,19,0,8,19,4,10,8,,,,,,,,,,,,,,,"0"
id364,10,20,3,0,17,20,,,,,,,,,,,,,,,,,,"0"
id365,10,20,2,7,8,1,0,18,7,8,,,,,,,,,,,,,,"1"
id366,10,20,2,7,8,1,8,17,20,,,,,,,,,,,,,,,"1"
id367,6,20,18,18,20,17,8,,,,,,,,,,,,,,,,,"0"
id368,10,20,19,19,18,20,10,20,,,,,,,,,,,,,,,,"0"
id369,10,20,1,8,,,,,,,,,,,,,,,,,,,,"1"
id370,10,20,1,8,10,0,25,0,17,8,,,,,,,,,,,,,,"1"
id371,10,20,1,8,13,8,13,0,17,20,,,,,,,,,,,,,,"0"
id372,10,20,5,20,20,,,,,,,,,,,,,,,,,,,"1"
id373,10,20,1,4,19,18,20,,,,,,,,,,,,,,,,,"1"
id374,10,20,12,20,,,,,,,,,,,,,,,,,,,,"0"
id375,10,20,12,14,,,,,,,,,,,,,,,,,,,,"1"
id376,10,20,17,0,10,20,18,7,14,13,,,,,,,,,,,,,,"1"
